City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Lavrentiya,RU,65.5833,-171.0,39.31,64,92,5.73,overcast clouds
315,Watertown,US,42.3709,-71.1828,71.01,50,0,5.75,clear sky
316,Springdale,US,36.1867,-94.1288,83.79,75,0,8.05,clear sky
317,Nador,MA,35.174,-2.9287,71.85,94,40,2.3,scattered clouds
318,General Roca,AR,-39.0333,-67.5833,50.14,30,100,7.18,overcast clouds
319,Upington,ZA,-28.4478,21.2561,54.36,52,100,10.18,overcast clouds
320,Westerland,DE,54.9079,8.3033,55.42,71,75,16.11,broken clouds
321,Iqaluit,CA,63.7506,-68.5145,38.7,80,100,1.99,overcast clouds
322,Swellendam,ZA,-34.0226,20.4417,53.49,75,62,6.2,broken clouds
323,Ibipeba,BR,-11.6408,-42.0111,70.32,67,31,6.78,scattered clouds
324,Lorengau,PG,-2.0226,147.2712,85.57,63,22,13.29,few clouds
325,Kristiansund,NO,63.1115,7.732,50.05,87,100,18.41,overcast clouds
326,Mahajanga,MG,-15.7167,46.3167,64.42,94,0,5.75,clear sky
327,Chicama,PE,-7.8447,-79.1469,59.54,83,13,4.88,few clouds
328,Hambantota,LK,6.1241,81.1185,84.54,74,20,9.22,few clouds
329,Tainan,TW,22.9908,120.2133,89.38,66,75,9.22,broken clouds
330,Port Hedland,AU,-20.3167,118.5667,82.45,26,4,12.66,clear sky
331,Alexandria,EG,31.2156,29.9553,73.42,72,0,6.22,clear sky
332,Aksu,CN,41.1231,80.2644,86.59,17,100,23.17,overcast clouds
333,La Ronge,CA,55.1001,-105.2842,59.34,64,100,6.67,overcast clouds
334,Bratsk,RU,56.1325,101.6142,75.34,48,7,1.39,clear sky
335,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,46.13,89,0,3.4,clear sky
336,Fortuna,US,40.5982,-124.1573,57.92,71,1,5.01,clear sky
337,Fredericton,CA,45.9454,-66.6656,59.02,93,100,4.05,moderate rain
338,Pisco,PE,-13.7,-76.2167,62.65,67,100,8.05,overcast clouds
339,Bacong,PH,9.2464,123.2956,85.5,72,100,5.91,overcast clouds
340,Cervo,ES,43.6702,-7.4101,63.19,95,100,8.95,overcast clouds
341,Camacupa,AO,-12.0167,17.4833,50.31,59,50,2.08,scattered clouds
342,Aksha,RU,50.2814,113.2867,72.14,35,100,3.76,overcast clouds
343,Ayagoz,KZ,47.9714,80.4392,71.24,53,100,14.56,overcast clouds
344,Awjilah,LY,29.1081,21.2869,71.06,65,0,8.16,clear sky
